item_name,category,description,latitude,longitude,ambience,vibes,price_range,historical_significance,cultural_authenticity,specialties,opening_hours ,event_date,event_type,entry_fee,image_urls,review_count,average_rating,keywords ,active_status,address,link
Ananda,Restaurant,Contemporary Indian restaurant offering traditional cuisine.,40.72876,-73.999229,Elegant; Modern,Quiet; Chill,Moderate,FALSE,Highly Authentic,Gunpowder Dosa; Masala Chai,"{""Monday"": {""open"": ""11:30"", ""close"": ""22:00""}, ""Tuesday"": {""open"": ""11:30"", ""close"": ""22:00""}, ""Wednesday"": {""open"": ""11:30"", ""close"": ""22:00""}, ""Thursday"": {""open"": ""11:30"", ""close"": ""22:00""}, ""Friday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Saturday"": {""open"": ""12:00"", ""close"": ""23:00""}, ""Sunday"": {""open"": ""12:00"", ""close"": ""21:00""}}",,,,,,,Indian cuisine; Fine dining,TRUE,"210 Thompson St, New York, NY 10012",
Esse Taco,Restaurant,Vibrant taqueria serving authentic Mexican street food.,40.716469,-73.959023,Vibrant; Casual,Lively; Trendy,Inexpensive,FALSE,Authentic,Chicken “Poc Chuc” Taco; Pork Adobado Taco,"{""Monday"": {""open"": ""11:00"", ""close"": ""23:00""}, ""Tuesday"": {""open"": ""11:00"", ""close"": ""23:00""}, ""Wednesday"": {""open"": ""11:00"", ""close"": ""23:00""}, ""Thursday"": {""open"": ""11:00"", ""close"": ""23:00""}, ""Friday"": {""open"": ""11:00"", ""close"": ""00:00""}, ""Saturday"": {""open"": ""11:00"", ""close"": ""00:00""}, ""Sunday"": {""open"": ""11:00"", ""close"": ""22:00""}}",,,,,,,Mexican cuisine; Street food,TRUE,"219 Bedford Ave, Brooklyn, NY 11211",
19 Cleveland,Restaurant,Modern Mediterranean bistro with Israeli-inspired cuisine.,40.7216,-73.997078,Cozy; Modern; Chic,Trendy; Lively,Moderate,FALSE,Authentic,Rotisserie Chicken Hummus; Gnocchi Istanbul,"{""Monday"": {""open"": ""10:00"", ""close"": ""22:00""}, ""Tuesday"": {""open"": ""10:00"", ""close"": ""22:00""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""22:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""22:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""23:00""}, ""Saturday"": {""open"": ""09:00"", ""close"": ""23:00""}, ""Sunday"": {""open"": ""09:00"", ""close"": ""22:00""}}",,,,,,,Mediterranean; Israeli cuisine,TRUE,"19 Cleveland Pl, New York, NY 10012",
Ishq,Restaurant,Chic lounge offering a fusion of Indian and Middle Eastern dishes.,40.7293361,-73.9808335,Chic; Modern; Artistic,Trendy; Romantic; Upscale,Expensive,FALSE,Somewhat Authentic,Nalli Ghost Biryani; Kadak Rumali; Pehle App,"{""Monday"": {""open"": ""17:00"", ""close"": ""01:00""}, ""Tuesday"": {""open"": ""17:00"", ""close"": ""01:00""}, ""Wednesday"": {""open"": ""17:00"", ""close"": ""01:00""}, ""Thursday"": {""open"": ""17:00"", ""close"": ""02:00""}, ""Friday"": {""open"": ""17:00"", ""close"": ""02:00""}, ""Saturday"": {""open"": ""17:00"", ""close"": ""02:00""}, ""Sunday"": {""open"": ""17:00"", ""close"": ""00:00""}}",,,,,,,Fusion cuisine; Lounge,TRUE,"202 Avenue A, New York, NY 10009",
Gottino Enoteca e Salumeria,Restaurant,Italian wine bar offering small plates and charcuterie.,40.7357734,-74.0004381,Cozy; Rustic; Vintage,Romantic; Quiet,Moderate,FALSE,Highly Authentic,Crespelle Ai Funghi; Cinghiale In Salami,"{""Monday"": {""open"": ""16:00"", ""close"": ""23:00""}, ""Tuesday"": {""open"": ""16:00"", ""close"": ""23:00""}, ""Wednesday"": {""open"": ""16:00"", ""close"": ""23:00""}, ""Thursday"": {""open"": ""16:00"", ""close"": ""23:00""}, ""Friday"": {""open"": ""16:00"", ""close"": ""00:00""}, ""Saturday"": {""open"": ""14:00"", ""close"": ""00:00""}, ""Sunday"": {""open"": ""14:00"", ""close"": ""23:00""}}",,,,,,,Italian; Wine Bar,TRUE,"52 Greenwich Ave, New York, NY 10011",
National Museum of the American Indian,Museum,"A museum dedicated to Native American history, art, and culture.",40.7040265,-74.0137472,Traditional; Artistic; Serene,Family-Friendly; Quiet,Inexpensive,TRUE,Highly Authentic,Native American artifacts; Cultural exhibitions,"{""Monday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Tuesday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Saturday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Sunday"": {""open"": ""10:00"", ""close"": ""17:00""}}",,,,,,,History; Culture; Education,TRUE,"1 Bowling Green, New York, NY 10004",https://americanindian.si.edu/visit/newyork
Museum of the City of New York,Museum,"Explores the past, present, and future of New York City.",40.7515177,-73.9815662,Modern; Artistic; Educational,Family-Friendly; Quiet,Moderate,TRUE,Highly Authentic,New York history exhibits; Urban culture,"{""Monday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Tuesday"": {""open"": ""Closed""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""21:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Saturday"": {""open"": ""10:00"", ""close"": ""17:00""}, ""Sunday"": {""open"": ""10:00"", ""close"": ""17:00""}}",,,,,,,History; New York City; Exhibitions,TRUE,"1220 Fifth Ave, New York, NY 10029",https://www.mcny.org/
New York Transit Museum,Museum,Dedicated to the history of public transportation in NYC.,40.6905176,-73.9899802,Rustic; Vintage; Educational,Family-Friendly; Quiet,Inexpensive,TRUE,Highly Authentic,Historic subway cars; Transit artifacts,"{""Monday"": {""open"": ""Closed""}, ""Tuesday"": {""open"": ""10:00"", ""close"": ""16:00""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""16:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""16:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""16:00""}, ""Saturday"": {""open"": ""11:00"", ""close"": ""17:00""}, ""Sunday"": {""open"": ""11:00"", ""close"": ""17:00""}}",,,,,,,Transportation; History; Education,TRUE,"99 Schermerhorn St, Brooklyn, NY 11201",https://www.nytransitmuseum.org/
Lower East Side Tenement Museum,Museum,Preserves the history of immigrant life in NYC's tenements.,40.7187837,-73.9900266,Rustic; Vintage; Historic,Family-Friendly; Quiet,Moderate,TRUE,Highly Authentic,Guided tours; Immigrant stories,"{""Monday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Tuesday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Saturday"": {""open"": ""10:00"", ""close"": ""18:00""}, ""Sunday"": {""open"": ""10:00"", ""close"": ""18:00""}}",,,,,,,Immigration; History; Tours,TRUE,"103 Orchard St, New York, NY 10002",https://www.tenement.org/
The Bronx Museum of the Arts,Museum,Showcases contemporary art by diverse artists.,40.8310911,-73.9199471,Modern; Urban; Artistic,Family-Friendly; Trendy,Inexpensive,FALSE,Highly Authentic,Contemporary art exhibits; Cultural programs,"{""Monday"": {""open"": ""Closed""}, ""Tuesday"": {""open"": ""Closed""}, ""Wednesday"": {""open"": ""13:00"", ""close"": ""18:00""}, ""Thursday"": {""open"": ""13:00"", ""close"": ""18:00""}, ""Friday"": {""open"": ""13:00"", ""close"": ""18:00""}, ""Saturday"": {""open"": ""11:00"", ""close"": ""18:00""}, ""Sunday"": {""open"": ""11:00"", ""close"": ""18:00""}}",,,,,,,Art; Culture; Contemporary,TRUE,"1040 Grand Concourse, Bronx, NY 10456",https://www.bronxmuseum.org/
