"item_id","item_name","latitude","longitude","category","sub_category","price_range","specialties","description","cultural_authenticity","historical_significance","keyword_match_count","rating","rating_count","vibes","ambience","images","distance"
145,"Devoción",40.6885567,-73.9834591,"Coffee shop",,"Moderate","{}","Devoción is a must-visit coffee spot in NYC, renowned for its high-quality Colombian coffee and enchanting atmosphere filled with lush greenery, perfect for enjoying a rich coffee experience or working in a serene environment.","Highly Authentic","f",,4.5,753,"Lively, Trendy, Chill","Cozy, Modern, Garden","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/8c4e93d4-e773-4983-9f0b-56f2577aec00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/c8fa09d7-6495-41f8-dfe3-6bd242a06300/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/bcfdf154-ac93-48de-17d7-6371fbb53d00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/ddcbd088-00c0-4fe7-107a-bc068a2be500/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/0febcb99-2f1e-4787-73f8-3ef817bb9000/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/3b93089f-d661-4c73-42ec-3abe6e9a5b00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/f8d9140b-c66f-481c-b36c-2d815b428e00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/24999e40-f355-453f-056b-c843628b6300/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/5b1b7d68-c4f2-4c72-bb6f-85af90bd7a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/f4dd9542-dff4-4c65-f7dc-5ba4fe9dba00/public"", ""description"" : """"}]",
146,"Devoción",40.7160682,-73.9646597,"Coffee shop, Cafe",,"Moderate","{""Devocion Espresso Cup"",Bakery}","Devoción is renowned for its freshly roasted, direct-trade Colombian coffee served in a visually stunning space with abundant natural light and a focus on quality and atmosphere. It's a perfect spot for both coffee enthusiasts and those looking for a beautiful place to relax or work.","Highly Authentic","f",,4.5,2378,"Trendy, Chill, Lively","Modern, Chic, Cozy, Artistic, Serene","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/9febc105-7d52-4df5-291c-35f0cb52ff00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/4e9bf61c-1bd8-4974-622b-5c7e52884a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/666186ae-9b1e-4b01-6945-760c36f95a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/28d898f7-8350-42e3-f82e-e223854bbd00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/d9babd0a-d77e-49cd-5600-6feb5b723f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/bfac41f6-27ef-4b61-80cf-61a65ccce000/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/65a2e955-b918-4e0b-b6d5-df0991d56700/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e1da2428-7586-4d39-4f0f-c1e24ffe0d00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/1df446d0-2bd7-4cd0-3708-8db2d4ed2600/public"", ""description"" : """"}]",
148,"maman",40.7304335,-73.958042,"Breakfast restaurant, Brunch restaurant, Restaurant, Coffee shop, Dessert shop, Cafe, Delivery service, European restaurant, French restaurant, Family restaurant",,"Moderate","{}","Maman offers a French-inspired culinary experience with its charming rustic decor, signature blue and white china, and artisanal pastries and coffee, making it a perfect spot for brunch or a relaxed breakfast.","Highly Authentic","f",,4.2,454,"Family-Friendly, Trendy, Chill","Cozy, Rustic, Chic, Vintage, Garden, Festive","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/17bf0d5d-bc71-4698-c080-8dd96d7c8100/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/1e677bf3-be02-4620-573e-31b8c7234200/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/625cea36-c7ef-42f7-b34c-018efad54b00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e86c5302-2631-4ab7-c6e4-1634fb2a0700/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/c4f0b5eb-e0be-409f-dc91-2dea91dd5200/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/6333a35a-1625-4d4d-2436-3258fe303c00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/b9a0a4e1-f01c-4bba-880b-047102bdae00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/886e2839-aaf6-42c8-bca9-e3838d3dd700/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/59b1ada0-a93f-437b-282e-25f519ec9b00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e816fc96-5925-410a-bd26-904416f45400/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/fc9e8e0a-442d-41a4-b0e4-4d9e24c5ec00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/ae20f831-ac49-4f5c-7e31-3abd6dadda00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/2f8489ba-1f85-4d30-ea01-8709204afa00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/bc120163-e3a1-44ed-1858-9f922faef500/public"", ""description"" : """"}]",
149,"Lysée",40.7391283,-73.9881953,"Dessert shop",,"Expensive","{""Lysee Cake Collection"",""Kouign Amann"",""Strawberry Tart"",""Mille Feuille""}","Lysee is a high-end pastry boutique in NYC, offering exquisitely crafted desserts by Chef Eunji Lee. The space blends minimalist elegance with cultural elements, creating an exceptional dining experience with a French, Korean, and New York flair.","Authentic","f",,4.4,495,"Upscale, Trendy","Minimalist, Elegant, Modern, Chic","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/a39425cd-6359-4582-6930-b01fad5fdb00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/0525af21-dad1-4ef6-917e-80da2eed0400/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/44639e3a-edf1-453d-ad28-4c3d2816d200/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/6f8ad581-af5a-43e0-6714-dbda14726200/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/8308e214-2555-405b-f4b0-6ca44ec0d100/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/b01d9c7d-0375-4f07-b2ef-c7d330347d00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/26060f62-5022-4833-9f42-cea4fe6c4400/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/eadf0f0f-5e49-4f97-536c-c3b7aeed3200/public"", ""description"" : """"}]",
151,"Dominique Ansel Workshop",40.7437334,-73.9866441,"Bakery, Breakfast restaurant, Cafe, Pastry shop",,"Expensive","{""Pain Au Chocolat"",""Sweet & Savory Croissant Duo"",""Apple Danish""}","Dominique Ansel's Workshop, a high-end pastry shop, offers exquisite baked goods with renowned creations like the Cronut, in an aesthetically pleasing and cozy setting in New York.","Highly Authentic","f",,4.3,389,"Trendy, Upscale","Modern, Chic, Artistic, Urban","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/d11e798f-6726-4d31-628d-84f0c3ee2400/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/dc3ce908-517c-44c2-9384-611cd48a2200/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e645f96c-f7df-414e-4cfe-cd5d8208ce00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/bed2b4f7-33d2-4195-8276-bbb02ac75f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/12c052e4-0c65-4492-0050-1ebc325e8f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/ea567e37-c28f-4031-664a-275b4d4e3e00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/7e334df7-5c25-4190-29e4-c33c88c85500/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/4269dc63-a387-4ce1-7dd6-882a5d5bf200/public"", ""description"" : """"}]",
152,"Stumptown Coffee Roasters",40.7328275,-73.9979664,"Coffee shop, Cafe, Tea store, Coffee store",,"Moderate","{}","Stumptown Coffee Roasters offers expertly roasted coffee with non-dairy milk options in a cozy, rustic setting, making it an ideal spot for coffee enthusiasts and remote working.","Somewhat Authentic","f",,4.4,1346,"Chill, Trendy, Lively","Cozy, Rustic, Casual","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/6251efec-b085-4f38-a343-84bfe5a1da00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/76cc3c02-3e6d-407f-4eaf-4aef196c4a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/b2f3ffb2-accd-4fed-4974-34e6b755e600/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/5612ab91-0f0e-4a29-4a94-54ef057f7f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/60cfee53-5fba-4948-b13b-e8c5b7318b00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/8ade33c3-a1e4-4bfa-cb88-7cbdad3f6300/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/927228a7-4e75-4c56-4cd7-8a3e93012c00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/d700e2e5-9752-4aa0-aa89-2946b2bc5500/public"", ""description"" : """"}]",
155,"Partners Coffee Urbanspace",40.7618461,-73.9816483,"Coffee shop, Espresso bar",,"Inexpensive","{""Drip Coffee""}","Partners Coffee Urbanspace is a charming coffee stand located within a bustling food hall, offering an array of specialty coffee and pastries with a friendly, vibrant atmosphere.","Authentic","f",,4.6,100,"Family-Friendly, Lively, Trendy","Cozy, Casual, Urban","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/3a2b4792-dab5-428b-63b0-9ecd9768fb00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/428ebb6b-575b-47a9-56d0-5f30fa669600/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/10a10e24-c4a0-4e1e-ab43-e77dc476be00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/8df7ad8d-16b6-40a4-3938-0b8e197a6000/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/89527c47-3917-472b-a4ed-825e8f4b9a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/85aab8d6-18d2-4f3e-66cd-66bfe1f54500/public"", ""description"" : """"}]",
156,"Partners Coffee",40.734916,-74.0023197,"Bar, Coffee shop, Coffee roasters",,"Moderate","{}","Partners Coffee is a local Brooklyn roaster offering a cozy urban cafe experience in West Village with a focus on artisanal coffees and a vibrant yet relaxed atmosphere.","Highly Authentic","f",,4.4,449,"Chill, Family-Friendly, Trendy","Cozy, Urban, Casual","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/226a34ea-ec26-4185-d35e-cc31ec49b600/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/866d2172-86ec-4ddf-6089-75ef44e14d00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/087103f1-1412-43b8-b9a2-fceaffa8c500/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/65ba9342-cdfe-470f-1f28-f0df367b8700/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/c9f62076-c3a4-45be-15a0-b2487fdf7300/public"", ""description"" : """"}]",
147,"Cha Cha Matcha (DUMBO)",40.7034191,-73.9916072,"Cafe",,"Moderate","{}","Cha Cha Matcha in DUMBO offers a vibrant atmosphere with a trendy pink and green decor, specializing in a variety of matcha-based drinks and unique flavor combinations.","Somewhat Authentic","f",,4.1,161,"Trendy, Chill, Family-Friendly","Vibrant, Chic, Modern","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/c5f26d46-6ce1-4a59-fb04-1fb47ef3aa00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/c94ce236-de6e-4053-a080-482c10133100/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/a7c0ef1d-fb75-4792-37bd-467732864f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/9829489c-eaf1-4155-7a2a-db8f5fc7d000/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/a6b289d4-540e-476a-8022-f6aacbcc1a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e4143462-c7f2-4970-9f49-1c44fe949a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/e7539b47-5791-48f7-a289-daca8771a400/public"", ""description"" : """"}]",
150,"Dominique Ansel Bakery",40.7252509,-74.0028734,"Bakery, Breakfast restaurant, Cafe, Pastry shop",,"Expensive","{}","Dominique Ansel Bakery is renowned for its world-famous Cronut and unique artisanal pastries, offering a vibrant and warm atmosphere with a charming garden patio in Soho, New York.","Highly Authentic","f",,4.3,8191,"Family-Friendly, Trendy","Chic, Casual, Garden","[{""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/37936a58-3161-48ac-695a-dd822aeabb00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/828b2d58-8fdf-4dbf-6778-82eb955ecf00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/905d7bc1-3079-49b8-5f9b-94d2c49e7f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/ccad175c-2fa5-4267-c4f9-1586f8a99600/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/aa520878-c3ce-4b63-351a-00f5bc34fc00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/9508dcb7-a9ad-49d1-4b89-bc9435130a00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/33d87a1e-e60a-4831-9f57-651cc7fa8f00/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/cb2f3499-a927-4bc7-5415-82b925190000/public"", ""description"" : """"}, {""url"" : ""https://imagedelivery.net/Kyt3Blmu7_fj4L_FEyUy5Q/79c38c1e-9a9c-4601-41e5-e3a0d90f3d00/public"", ""description"" : """"}]",
